IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
192.168.100.6,,8787,tcp,10.0,High,99,"Mitigation","Distributed Ruby (dRuby/DRb) Multiple RCE Vulnerabilities","Systems using Distributed Ruby (dRuby/DRb), which is available in Ruby versions 1.6
  and later, may permit unauthorized systems to execute distributed commands.","The service is running in $SAFE >= 1 mode. However it is still possible to run arbitrary syscall commands on the remote host. Sending an invalid syscall the service returned the following response:

Flo:Errno::ENOSYS:bt[""3/usr/lib/ruby/1.8/drb/drb.rb:1555:in `syscall'""0/usr/lib/ruby/1.8/drb/drb.rb:1555:in `send'""4/usr/lib/ruby/1.8/drb/drb.rb:1555:in `__send__'""A/usr/lib/ruby/1.8/drb/drb.rb:1555:in `perform_without_block'""3/usr/lib/ruby/1.8/drb/drb.rb:1515:in `perform'""5/usr/lib/ruby/1.8/drb/drb.rb:1589:in `main_loop'""0/usr/lib/ruby/1.8/drb/drb.rb:1585:in `loop'""5/usr/lib/ruby/1.8/drb/drb.rb:1585:in `main_loop'""1/usr/lib/ruby/1.8/drb/drb.rb:1581:in `start'""5/usr/lib/ruby/1.8/drb/drb.rb:1581:in `main_loop'""//usr/lib/ruby/1.8/drb/drb.rb:1430:in `run'""1/usr/lib/ruby/1.8/drb/drb.rb:1427:in `start'""//usr/lib/ruby/1.8/drb/drb.rb:1427:in `run'""6/usr/lib/ruby/1.8/drb/drb.rb:1347:in `initialize'""//usr/lib/ruby/1.8/drb/drb.rb:1627:in `new'""9/usr/lib/ruby/1.8/drb/drb.rb:1627:in `start_service'""%/usr/sbin/druby_timeserver.rb:12:errnoi+:mesg""Function not implemented
",1.3.6.1.4.1.25623.1.0.108010,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,ef117082-73f3-45ce-adf1-15da1912c00d,"By default, Distributed Ruby does not impose restrictions on allowed hosts or set the
  $SAFE environment variable to prevent privileged activities. If other controls are not in place, especially if the
  Distributed Ruby process runs with elevated privileges, an attacker could execute arbitrary system commands or Ruby
  scripts on the Distributed Ruby server. An attacker may need to know only the URI of the listening Distributed Ruby
  server to submit Ruby commands.","Administrators of environments that rely on Distributed Ruby should ensure that
  appropriate controls are in place. Code-level controls may include:

  - Implementing taint on untrusted input

  - Setting $SAFE levels appropriately (>=2 is recommended if untrusted hosts are allowed to submit Ruby commands, and >=3 may be appropriate)

  - Including drb/acl.rb to set ACLEntry to restrict access to trusted hosts","","","Send a crafted command to the service and check for a remote command execution
  via the instance_eval or syscall requests.
Details:
Distributed Ruby (dRuby/DRb) Multiple RCE Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.108010)
Version used: 2024-06-28T05:05:33Z
","","","",""
192.168.100.6,,53,tcp,0.0,Log,80,"","DNS Server Detection (TCP)","TCP based detection of a DNS server.","The remote DNS server banner is:

9.4.2
",1.3.6.1.4.1.25623.1.0.108018,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,d775e35d-ed13-4f29-a9d1-8c2c39581455,"","","","","
Details:
DNS Server Detection (TCP)
(OID: 1.3.6.1.4.1.25623.1.0.108018)
Version used: 2021-11-30T08:05:58Z
","","","",""
192.168.100.6,,80,tcp,5.0,Medium,80,"Mitigation","/doc directory browsable","The /doc directory is browsable.
  /doc shows the content of the /usr/doc directory and therefore it shows which programs and - important! - the version of the installed programs.","Vulnerable URL: http://192.168.100.6/doc/
",1.3.6.1.4.1.25623.1.0.10056,"CVE-1999-0678",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,a304f51a-22c6-49d7-ac2a-31e44bb482d7,"","Use access restrictions for the /doc directory.
  If you use Apache you might use this in your access.conf:

  <Directory /usr/doc>
  AllowOverride None
  order deny, allow
  deny from all
  allow from localhost
  </Directory>","","","
Details:
/doc directory browsable
(OID: 1.3.6.1.4.1.25623.1.0.10056)
Version used: 2023-08-01T13:29:10Z
","","","",""
192.168.100.6,,80,tcp,0.0,Log,80,"","favicon.ico Based Fingerprinting (HTTP)","HTTP based fingerprinting of web applications based on an
  exposed 'favicon.ico' file.","The following apps/services were identified:

""phpmyadmin (2.11.8.1 - 4.2.x)"" fingerprinted by the file: ""http://192.168.100.6/phpMyAdmin/favicon.ico""

",1.3.6.1.4.1.25623.1.0.20108,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,f85ba2b3-2036-4500-84b3-afbb3999d324,"","","","","
Details:
'favicon.ico' Based Fingerprinting (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.20108)
Version used: 2023-08-01T13:29:10Z
","","","",""
192.168.100.6,,2121,tcp,0.0,Log,80,"","FTP Banner Detection","This script detects and reports a FTP Server Banner.","Remote FTP server banner:

220 ProFTPD 1.3.1 Server (Debian) [::ffff:192.168.100.6]

This is probably (a):

- ProFTPD

Server operating system information collected via ""SYST"" command:

215 UNIX Type: L8
",1.3.6.1.4.1.25623.1.0.10092,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,85e56517-506a-40da-860a-473e3208544f,"","","","","
Details:
FTP Banner Detection
(OID: 1.3.6.1.4.1.25623.1.0.10092)
Version used: 2024-06-07T15:38:39Z
","","","",""
192.168.100.6,,21,tcp,0.0,Log,80,"","FTP Banner Detection","This script detects and reports a FTP Server Banner.","Remote FTP server banner:

220 (vsFTPd 2.3.4)

This is probably (a):

- vsFTPd

Server operating system information collected via ""SYST"" command:

215 UNIX Type: L8

Server status information collected via ""STAT"" command:

211-FTP server status:
     Connected to 192.168.100.29
     Logged in as ftp
     TYPE: ASCII
     No session bandwidth limit
     Session timeout in seconds is 300
     Control connection is plain text
     Data connections will be plain text
     vsFTPd 2.3.4 - secure, fast, stable
211 End of status
",1.3.6.1.4.1.25623.1.0.10092,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,4cb7bdb1-21a2-4bed-9a73-fdd85be92959,"","","","","
Details:
FTP Banner Detection
(OID: 1.3.6.1.4.1.25623.1.0.10092)
Version used: 2024-06-07T15:38:39Z
","","","",""
192.168.100.6,,2121,tcp,7.5,High,95,"Mitigation","FTP Brute Force Logins Reporting","It was possible to login into the remote FTP server using
  weak/known credentials.","It was possible to login with the following credentials <User>:<Password>

msfadmin:msfadmin
postgres:postgres
service:service
user:user
",1.3.6.1.4.1.25623.1.0.108718,"CVE-1999-0501,CVE-1999-0502,CVE-1999-0507,CVE-1999-0508,CVE-2001-1594,CVE-2013-7404,CVE-2017-8218,CVE-2018-19063,CVE-2018-19064",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,46abb076-8fe9-4b7e-b6d1-dae43b494175,"This issue may be exploited by a remote attacker to e.g. gain
  access to sensitive information or modify system configuration.","Change the password as soon as possible.","","The following devices are / software is known to be affected:

  - CVE-2001-1594: Codonics printer FTP service as used in GE Healthcare eNTEGRA P&R

  - CVE-2013-7404: GE Healthcare Discovery NM 750b

  - CVE-2017-8218: vsftpd on TP-Link C2 and C20i devices

  - CVE-2018-19063, CVE-2018-19064: Foscam C2 and Opticam i5 devices

  Note: As the VT 'FTP Brute Force Logins' (OID: 1.3.6.1.4.1.25623.1.0.108717) might run into a
  timeout the actual reporting of this vulnerability takes place in this VT instead.","Reports weak/known credentials detected by the VT
  'FTP Brute Force Logins' (OID: 1.3.6.1.4.1.25623.1.0.108717).
Details:
FTP Brute Force Logins Reporting
(OID: 1.3.6.1.4.1.25623.1.0.108718)
Version used: 2023-12-06T05:06:11Z
","","","",""
192.168.100.6,,21,tcp,7.5,High,95,"Mitigation","FTP Brute Force Logins Reporting","It was possible to login into the remote FTP server using
  weak/known credentials.","It was possible to login with the following credentials <User>:<Password>

msfadmin:msfadmin
postgres:postgres
service:service
user:user
",1.3.6.1.4.1.25623.1.0.108718,"CVE-1999-0501,CVE-1999-0502,CVE-1999-0507,CVE-1999-0508,CVE-2001-1594,CVE-2013-7404,CVE-2017-8218,CVE-2018-19063,CVE-2018-19064",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,5597fcb3-3765-4b9f-bd78-023d6a53c0ed,"This issue may be exploited by a remote attacker to e.g. gain
  access to sensitive information or modify system configuration.","Change the password as soon as possible.","","The following devices are / software is known to be affected:

  - CVE-2001-1594: Codonics printer FTP service as used in GE Healthcare eNTEGRA P&R

  - CVE-2013-7404: GE Healthcare Discovery NM 750b

  - CVE-2017-8218: vsftpd on TP-Link C2 and C20i devices

  - CVE-2018-19063, CVE-2018-19064: Foscam C2 and Opticam i5 devices

  Note: As the VT 'FTP Brute Force Logins' (OID: 1.3.6.1.4.1.25623.1.0.108717) might run into a
  timeout the actual reporting of this vulnerability takes place in this VT instead.","Reports weak/known credentials detected by the VT
  'FTP Brute Force Logins' (OID: 1.3.6.1.4.1.25623.1.0.108717).
Details:
FTP Brute Force Logins Reporting
(OID: 1.3.6.1.4.1.25623.1.0.108718)
Version used: 2023-12-06T05:06:11Z
","","","",""
192.168.100.6,,21,tcp,4.8,Medium,70,"Mitigation","FTP Unencrypted Cleartext Login","The remote host is running a FTP service that allows cleartext logins over
  unencrypted connections.","The remote FTP service accepts logins without a previous sent 'AUTH TLS' command. Response(s):

Non-anonymous sessions: 331 Please specify the password.
Anonymous sessions:     331 Please specify the password.
",1.3.6.1.4.1.25623.1.0.108528,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,da713c28-ba80-4955-8875-860d36a77027,"An attacker can uncover login names and passwords by sniffing traffic to the
  FTP service.","Enable FTPS or enforce the connection via the 'AUTH TLS' command. Please see
  the manual of the FTP service for more information.","","","Tries to login to a non FTPS enabled FTP service without sending a
  'AUTH TLS' command first and checks if the service is accepting the login without enforcing the use of
  the 'AUTH TLS' command.
Details:
FTP Unencrypted Cleartext Login
(OID: 1.3.6.1.4.1.25623.1.0.108528)
Version used: 2023-12-20T05:05:58Z
","","","",""
192.168.100.6,,2121,tcp,4.8,Medium,70,"Mitigation","FTP Unencrypted Cleartext Login","The remote host is running a FTP service that allows cleartext logins over
  unencrypted connections.","The remote FTP service accepts logins without a previous sent 'AUTH TLS' command. Response(s):

Non-anonymous sessions: 331 Password required for openvasvt
Anonymous sessions:     331 Password required for anonymous
",1.3.6.1.4.1.25623.1.0.108528,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,5dd8ce4f-3284-4fb8-81bc-f681d1bf1e77,"An attacker can uncover login names and passwords by sniffing traffic to the
  FTP service.","Enable FTPS or enforce the connection via the 'AUTH TLS' command. Please see
  the manual of the FTP service for more information.","","","Tries to login to a non FTPS enabled FTP service without sending a
  'AUTH TLS' command first and checks if the service is accepting the login without enforcing the use of
  the 'AUTH TLS' command.
Details:
FTP Unencrypted Cleartext Login
(OID: 1.3.6.1.4.1.25623.1.0.108528)
Version used: 2023-12-20T05:05:58Z
","","","",""
192.168.100.6,,,,0.0,Log,80,"","Hostname Determination Reporting","The script reports information on how the hostname of the target
  was determined.","Hostname determination for IP 192.168.100.6:

Hostname|Source
192.168.100.6|IP-address
",1.3.6.1.4.1.25623.1.0.108449,"",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,01ce87b0-cbb1-4d70-a2e7-28cde02da807,"","","","","
Details:
Hostname Determination Reporting
(OID: 1.3.6.1.4.1.25623.1.0.108449)
Version used: 2022-07-27T10:11:28Z
","","","",""
192.168.100.6,,80,tcp,5.8,Medium,99,"Mitigation","HTTP Debugging Methods (TRACE/TRACK) Enabled","The remote web server supports the TRACE and/or TRACK
  methods. TRACE and TRACK are HTTP methods which are used to debug web server connections.","The web server has the following HTTP methods enabled: TRACE
",1.3.6.1.4.1.25623.1.0.11213,"CVE-2003-1567,CVE-2004-2320,CVE-2004-2763,CVE-2005-3398,CVE-2006-4683,CVE-2007-3008,CVE-2008-7253,CVE-2009-2823,CVE-2010-0386,CVE-2012-2223,CVE-2014-7883",8b1726c8-61f4-47cb-8b18-68714367a850,"dasssd",2024-08-28T08:06:27Z,77d4caed-761e-40b2-968d-bf681a136b97,"An attacker may use this flaw to trick your legitimate web
  users to give him their credentials.","Disable the TRACE and TRACK methods in your web server
  configuration.

  Please see the manual of your web server or the references for more information.","Web servers with enabled TRACE and/or TRACK methods.","It has been shown that web servers supporting this methods
  are subject to cross-site-scripting attacks, dubbed XST for Cross-Site-Tracing, when used in
  conjunction with various weaknesses in browsers.","Checks if HTTP methods such as TRACE and TRACK are
  enabled and can be used.
Details:
HTTP Debugging Methods (TRACE/TRACK) Enabled
(OID: 1.3.6.1.4.1.25623.1.0.11213)
Version used: 2023-08-01T13:29:10Z
","","","DFN-CERT-2021-1825,DFN-CERT-2014-1018,DFN-CERT-2010-0020,CB-K14/0981",""
